date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:41:15	120724/120724	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%221d794-5f175adf-b44d35692b97742a;gz%22	https://theembazaar.com/demo/3xtheme/jio-construction/assets/fonts/ionicons.eot?v=2.0.0	/Users/apple/websites/construction-5/theembazaar.com/demo/3xtheme/jio-construction/assets/fonts/ionicons28b5.eot	(from https://theembazaar.com/demo/3xtheme/jio-construction/assets/css/ionicons.css)
13:41:16	188508/188508	---M-Z	200	added ('OK')	application/x-font-ttf	etag:%222e05c-5f175adf-c4aa32472cbd66d3;gz%22	https://theembazaar.com/demo/3xtheme/jio-construction/assets/fonts/ionicons.ttf?v=2.0.0	/Users/apple/websites/construction-5/theembazaar.com/demo/3xtheme/jio-construction/assets/fonts/ionicons28b5.ttf	(from https://theembazaar.com/demo/3xtheme/jio-construction/assets/css/ionicons.css)
13:41:17	67904/67904	---M--	200	added ('OK')	application/font-woff	etag:%2210940-5f175ae0-d0fc6bfc965a6a75;;;%22	https://theembazaar.com/demo/3xtheme/jio-construction/assets/fonts/ionicons.woff?v=2.0.0	/Users/apple/websites/construction-5/theembazaar.com/demo/3xtheme/jio-construction/assets/fonts/ionicons28b5.woff	(from https://theembazaar.com/demo/3xtheme/jio-construction/assets/css/ionicons.css)
13:41:18	4418/4418	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%221142-5f175adb-60e86cd172a05855;gz%22	https://theembazaar.com/demo/3xtheme/jio-construction/assets/fonts/Flaticon.eot	/Users/apple/websites/construction-5/theembazaar.com/demo/3xtheme/jio-construction/assets/fonts/Flaticon.eot	(from https://theembazaar.com/demo/3xtheme/jio-construction/assets/css/flaticon.css)
13:41:18	333834/333834	---M-Z	200	added ('OK')	image/svg+xml	etag:%225180a-5f175adf-a654bbae47452020;gz%22	https://theembazaar.com/demo/3xtheme/jio-construction/assets/fonts/ionicons.svg?v=2.0.0	/Users/apple/websites/construction-5/theembazaar.com/demo/3xtheme/jio-construction/assets/fonts/ionicons28b5.svg	(from https://theembazaar.com/demo/3xtheme/jio-construction/assets/css/ionicons.css)
13:41:19	4418/4418	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%221142-5f175adb-60e86cd172a05855;gz%22	https://theembazaar.com/demo/3xtheme/jio-construction/assets/fonts/Flaticon.eot?	/Users/apple/websites/construction-5/theembazaar.com/demo/3xtheme/jio-construction/assets/fonts/Flaticond41d.eot	(from https://theembazaar.com/demo/3xtheme/jio-construction/assets/css/flaticon.css)
13:41:20	2796/2796	---M--	200	added ('OK')	application/font-woff	etag:%22aec-5f175adc-14f2897bf078e571;;;%22	https://theembazaar.com/demo/3xtheme/jio-construction/assets/fonts/Flaticon.woff	/Users/apple/websites/construction-5/theembazaar.com/demo/3xtheme/jio-construction/assets/fonts/Flaticon.woff	(from https://theembazaar.com/demo/3xtheme/jio-construction/assets/css/flaticon.css)
13:41:21	4240/4240	---M-Z	200	added ('OK')	application/x-font-ttf	etag:%221090-5f175adc-26a7598c3529df97;gz%22	https://theembazaar.com/demo/3xtheme/jio-construction/assets/fonts/Flaticon.ttf	/Users/apple/websites/construction-5/theembazaar.com/demo/3xtheme/jio-construction/assets/fonts/Flaticon.ttf	(from https://theembazaar.com/demo/3xtheme/jio-construction/assets/css/flaticon.css)
13:41:22	21613/21613	---M-Z	200	added ('OK')	image/svg+xml	etag:%22546d-5f175adc-db573f40988fa563;gz%22	https://theembazaar.com/demo/3xtheme/jio-construction/assets/fonts/Flaticon.svg	/Users/apple/websites/construction-5/theembazaar.com/demo/3xtheme/jio-construction/assets/fonts/Flaticon.svg	(from https://theembazaar.com/demo/3xtheme/jio-construction/assets/css/flaticon.css)
13:41:23	12136/12136	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%222f68-5f17717e-a3de5eaa622018f5;gz%22	https://theembazaar.com/demo/3xtheme/jio-construction/assets/fonts/revicons/revicons.eot?5510888	/Users/apple/websites/construction-5/theembazaar.com/demo/3xtheme/jio-construction/assets/fonts/revicons/revicons90c6.eot	(from https://theembazaar.com/demo/3xtheme/jio-construction/assets/css/settings.css)
